h5_index,design_id,human_rating_modernity,ai_rating_modernity
630,630,,3.3293693498708308
631,631,,3.5812133045401424
634,634,3.0,3.481235207989812
635,635,,3.250840595923364
637,637,,3.763815059326589
640,640,,3.3895060904324055
641,641,,3.6777870929799974
645,645,,3.7856861338950694
649,649,,3.3671556850895286
650,650,,3.4021300254389644
651,651,4.5,3.772525316569954
652,652,,3.6238407199271023
654,654,,3.2699800096452236
655,655,,3.3604238480329514
657,657,3.75,3.5803044182248414
660,660,,3.330160742159933
661,661,,3.6014087246730924
664,664,,3.196457606740296
665,665,,3.3618661956861615
667,667,,3.5770949353463948
668,668,3.1,3.5708229169249535
669,669,,3.927793636568822
670,670,,3.5396283925510943
671,671,,3.370024226605892
672,672,,3.464165084064007
673,673,,3.283006176818162
674,674,,3.672680865973234
677,677,,3.5071069188416004
678,678,,3.483763084746897
679,679,3.0,3.346440331079066
680,680,,3.3678449322469532
682,682,3.2,3.544263726565987
683,683,2.857142857142857,3.5458780359476805
687,687,,3.625896882498637
688,688,4.6,4.034921494312584
692,692,,3.357772377319634
693,693,,3.314153694547713
694,694,,3.6104672751389444
700,700,4.0,3.64316205191426
706,706,,3.4877353361807764
707,707,,3.5814077435061336
708,708,,3.306039519608021
709,709,3.25,3.449046114459634
710,710,,3.43580471444875
712,712,3.2142857142857144,3.581705140415579
713,713,,3.5447416217066348
714,714,,3.762957513332367
715,715,,3.4228206891566515
716,716,3.8,3.4428064967505634
718,718,3.0,3.56581655703485
719,719,,3.4302958119660616
722,722,,3.4493307853117585
724,724,,3.167329433374107
729,729,,3.254679463803768
730,730,3.357142857142857,3.5281887226738036
732,732,2.7142857142857144,3.4157342612743378
735,735,,3.5298580159433186
736,736,2.8,3.306592437438667
737,737,,3.089047191897407
741,741,3.857142857142857,3.4788689729757607
742,742,,3.552480557002127
743,743,,3.6038758186623454
747,747,,3.180013647302985
751,751,,3.4338555159047246
756,756,,3.4981402326375246
757,757,,3.4082307098433375
758,758,,3.4044808130711317
760,760,,3.3757218616083264
761,761,,3.3018247350119054
765,765,,3.400395716074854
768,768,,3.6516492618247867
769,769,3.0,3.5532645252533257
770,770,2.909090909090909,3.487804254516959
771,771,,3.5551800723187625
776,776,,3.6047742189839482
779,779,,3.3561001899652183
781,781,,3.405033628223464
782,782,,3.4142670119181275
784,784,,3.1847938830032945
786,786,3.571428571428572,3.7564229525160044
789,789,,3.675592951476574
792,792,,3.394551232457161
796,796,3.2222222222222223,3.4808638700051233
800,800,,3.3489762023091316
802,802,3.2,3.500880445353687
804,804,,3.507614034693688
807,807,,3.49043674627319
809,809,,3.363481478765607
810,810,,3.5924319326877594
811,811,,3.2454103929921985
812,812,3.4,3.443127801641822
813,813,3.8,3.501489892601967
822,822,2.5,3.4398476937785745
823,823,,3.7578619718551636
826,826,,3.3655320266261697
828,828,,4.003658910165541
829,829,,3.4945359900593758
830,830,,3.4205709733068943
831,831,,3.318098386749625
834,834,3.0,3.425457574427128
836,836,,3.589236658066511
837,837,,3.4785190974362195
844,844,,3.6209861673414707
845,845,3.7142857142857135,3.3941155336797237
846,846,,3.583424310432747
847,847,3.1,3.6407392830587924
